ID,Name,Content,Event,Skip
1,Narrator,"당신의 증거에 반박하지 못한 이경숙 씨는 자신의 죄를 자백했다.",1,0 
2,Narrator,"증거가 완벽히 일치하자, 그녀는 더 이상 부인할 수 없는 현실을 마주했다. 깊은 한숨을 내쉬며 '모든 것이 제 계획이었습니다'라고 고백했다.",1,0
3,Narrator,"피해자의 아내였던 그녀는 오랜 기간 민병관 씨의 가정폭력에 시달려왔다고 진술했다. 수년간 지속된 신체적, 정서적 학대로 인해 극도의 분노와 절망감을 느꼈다고 설명했다.",2,0
4,Narrator,"심문 중 이경숙 씨는 친구가 남편의 사망으로 보험금을 받았다는 소식을 듣고 범행을 결심하게 되었다고 털어놓았다. 이는 복수와 경제적 이익이 결합된 치밀한 계획이었다고 주장했다.",2,0
5,Narrator,"이경숙 씨는 법정에서 '더 이상 그 사람과 함께 살 수 없었다'는 절망감이 보험금에 대한 욕심과 결합해 범죄를 결심하게 만들었다고 진술했다. 이는 단순 이익 추구를 넘어선 복합적 동기임이 분명했다.",2,0
6,Narrator,"범행 방법은 치밀하고 계획적이었다. 이경숙 씨는 민병관 씨 명의로 5억원 상당의 사망보험을 가입시킨 후, 인터넷을 통해 독극물 제조법을 습득했다. 모든 과정이 체계적으로 준비되었다.",3,0
7,Narrator,"그녀는 독극물을 직접 제조한 후 민병관 씨가 평소 즐겨 마시던 와인에 투여했다. 안부 인사를 핑계로 별거 중인 남편의 자택을 방문해 범행을 실행했다.",3,0
8,Narrator,"이경숙 씨는 민병관 씨가 독이 든 와인을 마시고 고통스러워하는 모습을 지켜봤다고 진술했다. 그 후 타살로 위장하기 위해 현장을 어지럽히고 집을 빠져나왔다고 말했다.",3,0
9,Narrator,"범행 후 이경숙 씨는 독극물 제조 도구들을 폐기하고 인터넷 검색 기록을 삭제하여 증거를 은폐하려 했으나, 디지털 포렌식을 통해 모든 흔적이 복원되었다.",3,0
10,Narrator,"추가 조사로 이경숙 씨의 일기장에서 범행 계획이 상세히 기록된 내용이 발견되었다. 보험금 수령 계획부터 독극물 제조 과정까지 모든 것이 문서화되어 있었다.",4,0
11,Narrator,"며칠 후 이경숙 씨가 직접 경찰에 신고를 접수하여 자신의 의심을 피하고자 하였다.",4,0
12,Narrator,"동시에, 김예나 씨가 청부업자를 이용한 정황이 포착되었다.",5,0
13,Narrator,"김예나 씨의 통화기록과 출금내역에서 수상한 거래 흔적이 발견되었다. 독살과 거의 동시에 이루어진 김예나 씨의 청부살인 시도는 사건을 더욱 복잡하게 만들었다.",5,0
14,Narrator,"법정에서는 김예나 씨의 청부살인 관련 증거도 함께 심리되기로 결정되었다. 두 용의자의 혐의가 병합 심리되며 사건은 복합적인 사건으로 기록되었다.",5,0
15,Narrator,"이경숙 씨는 마지막 변론에서 '수년간의 고통이 날 이끌었다'고 호소했지만, 법정은 그녀의 치밀한 계획성과 보험금 목적을 중시하며 유죄를 인정했다.",6,0
16,Narrator,"판결문에는 '치밀한 사전 계획 및 보험금 편취 목적'이라는 표현이 명시되었고, 검찰은 징역을 구형했다.",6,0
17,Narrator,"법원은 이경숙 씨에게 징역을 선고하고 교도소 이송을 명령했다. 그녀는 차가운 수갑을 찬 채 법정을 떠났으며, 마지막까지 고개를 숙이고 있었다.",6,0
18,Narrator,"당신은 사건을 해결했다. 비록 마음 한편에는 씁쓸함이 남았지만, 당신의 추리로 정의가 실현되었다.",7,0
19,System,"엔딩 2: 범인 이경숙",7,0
